slug,title,tags,thumb
alrighty-then_BurQE5H,Alrighty then - Ace Ventura,"confirmation, lets-do-it, fake-enthusiasm, yes",ace-ventura.png
hb128,8-bit Happy Birthday,"happy-birthday, robot-voice",
absofreakinglutly,ABSOfreaking LUTLY,"yes, enthusiasm",
nappas-are-we-there-yet-1-1,Are we there yet?,impatience,
huh_37bAoRo,Huh? (Asian),confusion,
studio-audience-awwww-sound-fx,Aww,"dismissive, fail",
baldo-scream,Scream,"scream, danger",
rimshot,Tum Dum Tss,"foley, winning",drumroll.png
bb-drum-roll,Drum roll,"foley, drum",drumroll.png
beavis-and-butthead-laughing,Beavis and butthead,"laugh, cartoons",beavis-butthead.png
benders-doomed,Our Universe is Doomed,"fail, cartoons, futurama",bender-futurama.png
the-benny-hill-show-theme-short-sound-clip-and-quote-hark,Benny Hill,"mockery, circus, theme-song",benny-hill.png
youre-fired,You're fired!,"dismissive, quote",
bitch-said-what-i-said,"Bitch, said what i said!","winning, song",
boing_lmke36X,BOING,foley,
explosion_1,Bomb,"foley, gun",
booing,Booing,"dismissive, fail, natural, realistic",
bundy,Bundy Theme Song,"theme-song, tv-show",married-with-children.png
wrong-answer-sound-effect,Buzzer,"dismissive, fail",buzzer-button.png
bye-bitch-meme,Bye Bitch!,"dismissive, _unfilled",
caillou-en-forme-sexy,En forme Sexy,action,
careless-whisper-fail,Careless Whisper fail,sexy,
cartoon-boing_7vRWDlc,Cartoon boing sfx,foley,
censor-beep-7,Censor Beep,"foley, insult",
challenge-acepted,Chalenge Accepted,"action, yes",
funny_82hiegE,Chipmunk Laugh,laugh,
cinematic-suspense-riser,Cinematic Suspense Riser,"suspense, _unfilled, filler",
circus-theme-music-www,Circus theme,"mockery, circus",
congratulations_mpRtRIg,Congrats. You're a failure,"fail, sarcasm",
daffy-duck-scream,Daffy Duck Scream,"scream, danger",daffy-duck.png
dark_side_calling_u223,The Dark Side is calling,"darth-vader, movies",darth-vader-small.png
joinus-online-audio-converter,Join Us,"darth-vader, movies",darth-vader-small.png
i-find-your-lack-of-faith-disturbing-star-wars-episode-iv,Lack of faith,"darth-vader, movies, dismissive",darth-vader-small.png
nooo,NOOO!,"darth-vader, movies, dismissive, no",darth-vader-small.png
dj-airhorn-sound-effect-kingbeatz_1,DJ Airhorn,"foley, winning, action",
dont-fail-me-again-vader,Don't fail me again,"darth-vader, movies, fail",darth-vader-small.png
dont-worry-be-happy-lyrics-loudtronix-hq-mp3cut,Don't worry be happy,"chill-down, happy",
tidylabs-bfg,Doom bfg,"action, metal, games",doom-game.png
doom,Doom button,"action, metal, games",doom-game.png
doom-eternal,Doom Eternal,"action, metal, games",doom-game.png
8d82b5_doom_shotgun_firing_sound_effect,Doom Shotgun,"foley, gun, games",doom-game.png
crazy-realistic-knocking-sound-troll-twitch-streamers_small,Door Knocking,"foley, natural, realistic",
announcer_kill_monster_01_1,Monster Kill,"games, drama, winning",
dramatic.swf,Dramatic Chipmunk,"suspense, drama",
drum-roll-gaming-sound-effect-hd,Drum Roll Effect,"drum, drama, suspense, filler",drumroll.png
official-duke-nukem-forever-theme-song-grabbag-mix1-v2-phomastered,Duke Nukem,"dukenukem, action, metal",duke-nukem.png
duke-nukem-3d-come-get-some,Come Get Some,"dukenukem, dismissive",duke-nukem.png
hell-yeah_dBN35mW,Hell Yeah,"dukenukem, winning",duke-nukem.png
duke-1,Duke Nukem riff 1,"dukenukem, action",duke-nukem.png
duke-3,Duke Nukem riff 3,"dukenukem, action",duke-nukem.png
duke-nukem-shit-happens,Shit Happens!,"dukenukem, fail",duke-nukem.png
epic-fail_1,Epic Fail,fail,
fail_6uWkkOG,Fail horns cartoony,fail,
dry-fart,Fart,fart,
fart-moan3,Fart Moan,fart,
impatient-bender_YK9VCWl,Let's Go Already,"impatience, cartoons, futurama",bender-futurama.png
get-yo-fat-ass-back-here,Get yo fat Ass Back,"quote, sexy, female-voice",
half-life-2-stalker-scream,Stalker Scream,"scream, danger",
hallelujahshort.swf,Hallelujah,"approve, relief, happy, yes",
heavenly-music-gaming-sound-effect-hd-mp3cut,Heavenly Music,"approve, happy, yes",
hercules-disappointed_PUbGxv7,Disappointed,"dismissive, fail",
los-del-rio-macarena-original-video-mp3cut,Hey Macarena,"song, winning, happy",
i-fart-in-your-general-direction_AlhlzcL,I Fart in your General direction,"dismissive, fart, insult",
idiot-quote-dwight-schrute,Idiot Quote Dwight Schrute,"dismissive, insult",
imperial-march-2nd-cut,Imperial March,"movies, action",dath-vader.png
inceptionbutton,Inception Button,"action, suspense, movies",
it-is-pointless-to-resist,It is pointless to resist,"quote, darth-vader, robot-voice, movies, no",darth-vader-small.png
duke_nukem_time_to_kick_ass,It's Time to kick ass,"dukenukem, action",duke-nukem.png
just-do-it,JUST DO IT!,action,
kids_cheering,Kids Cheering,"happy, cheering",
gunshot-one,Load and Gunshot Fire,"gun, foley",
looney-tunes-short,Looney Tunes,"cartoons, theme-song",looney-tunes.png
all-right,Mathew All right,"movies, approve, yes, winning",
record-27-11-2018_16-41-34,Merry Christmas MotherF´s,"aggressive, insult",
merry-christmas-you-filthy-animal,"Merry Christmas, ya filthy...","aggressive, insult",
mgsv-the-kids-are-all-dead-mission-failed,Kids all dead Mission Failed,fail,
metal-slug-mission-complete,Mission Complete,"winning, games",
mission-failed-well-get-em-next-time-sound-effect-zxhixnbk,"Mission Failed, get em next time",fail,
money-soundfx,MoneyFX,foley,
news_intro-maximilien_-1801238420_2,News Intro Breaking News,foley,breaking-news.png
no-god-please-no_F2DnCFM,No God Please,no,the-office.jpeg
nobody-cares-robotnik,Nobody Cares!,"sarcasm, dismissive",
nooo.swf,Noooo!,no,
nuclear-alarm-siren,Nuclear Alarm Siren,"foley, alarm, danger",
ringtone_7,Oh Hell No,no,
oh-no-no-no-no-laugh,Oh No no no laugh,_unfilled,
oh-no-no-no-tik-tok-song-sound-effect,Oh No No No Song,"_unfilled, sad",
wcgertcz074,Oh shit not good,"no, danger",
oops_CSnioFg,Oops I did it again,"song, winning",
oppan-gangnam-style,Oppan Gangnam,"song, action, enthusiasm",
piano-riff,Blues Piano riff,action,
pink-fluffy-unicorns-dancing-on-rainbows,Pink Fluffy Unicorn,"happy, enthusiasm",
pirates-of-the-caribbean-theme-song,Pirates of the Caribbean,"movies, theme-song, action",
pistol-sound-effect_zejYI9w,Pistol effect,"foley, gun",
punch-gaming-sound-effect-hd_RzlG1GE,Punch,"foley, angry",
respct,Respect my Authotity,"angry, dismissive",
badumtss.swf,Rimshot,"drum, conclusion",drumroll.png
tmpz9lqlsfz,Rocky,"action, movies",rocky.png
sad-ham,Sad Ham,sad,
sad-trombone,Sad Trombone,sad,
seinfeld-theme_1,Seinfeld Theme Song,"theme-song, tv-show, seinfeld",seinfeld.png
sexy-and-i-know-it_crWNUGY,Sexy and I know it,sexy,
george-micael-wham-careless-whisper-1,Sexy Sax,sexy,
sexy-sexy-sexy-adasdasdasd,Sexy sexy sexy,sexy,
ahmed-the-dead-terrorist-silence-i-kill-you_,Silence! I kill you,"angry, quote",
sitcom-laughing-1,Sitcom laugh,"laugh, tv-show",
tmpbxydyrz3,Snoop Dogg meme,"meme, winning",
south-park-intro-season-12,South Park intro,"tv-show, theme-song",south-park.png
star-wars-rock-darth-vader,Star Wars theme,"darth-vader, action, theme-song",darth-vader-small.png
surprise-motherfucker_Wd1bsed,Surprise motherfucker!,action,
dun-dun-duuuun-sound-effect-1,Suspense Dundunduun,"suspense, drama",
ta-da_yrvBrlS,Ta-da!,"foley, winning",
follow_vrIWkAR,Thanks for the follow!,thank-you,
thats-all-folks-porky,Thats All Folks,"conclusion, cartoons, theme-song",looney-tunes.png
tmpb1ci9teh,The Doom Slayer,"robot-voice, angry",
the-force-is-strong-with-this-one,The force is strong,"darth-vader, quote",darth-vader-small.png
thats_what_she_said,Thats what she said,"the-office, tv-show, quote",the-office.jpeg
tmpjp50vb3i,Aaaa I’m gonna kill myself,"the-office, tv-show, quote, desperation",the-office.jpeg
tmpbzc_o7bi,I am so scared,"the-office, tv-show, desperation",the-office.jpeg
tmp49xh2y2g,Oh no its bad. It's 'real' bad,"the-office, tv-show, desperation, fail",the-office.jpeg
tmpeodo70zr,"Omg! Ok, it's happening!","the-office, tv-show",the-office.jpeg
thisissparta.swf,This is Sparta!!,"movies, action, quote",this-is-sparta.png
sarah-brightman-andrea-bocelli-time-to-say-goodbye-1997-video-stereo-widescreenmp3,Time to Say Goodbye...,movies,
titanic-flute-fail,Titanic flute fail,"fail, movies",
toilet_flush,Toilet Flush,"foley, fail",
donald-trump,Trump - Stop It,"male-voice, donald-trump, no",donald-trump.png
untitled_627,Ultimate Insult,"angry, insult",
ungrateful-he-bitch,Ungrateful He-Bitch,"angry, insult",
what-are-waiting-for-christmas-vifwar7jxcq,"What are waiting for, Xms","dismissive, movies, quote, impatience",duke-nukem.png
crack_the_whip,Whip,foley,
barney-the-whisper-song,Whisper Song,sexy,
9convert_JMEQrwL,Who invited this kid,"dismissive, insult",
whos-your-daddy2,Who's your daddy2,"sexy, quote, winning",
182-osira002,Why you little b*tch,"quote, insult",
my-movie-6_0RlWMvM,WIDE PUTIN MEME,meme,
wolf6,Wolf Howling,cartoons,
woody-woodpecker-laugh,Woody Woodpecker Laugh,laugh,woody-woodpecker.png
worlds-smallest-violin,World's Smallest Violin,sad,
expedientes-secretos-x-musica22,X files,"tv-show, theme-song, suspense",x-files.png
swvader03,Yes My Master,"darth-vader, yes",darth-vader-small.png
you-are-an-idiot,You are an Idiot!,"dismissive, insult",
you-dont-know-the-power-of-the-dark-side_T8I6URq,U Don't Know the Power of Darkside,"darth-vader, movies",darth-vader-small.png
tf,You Failed,"games, fail",
you-dirty-bitch,You-Dirty-Bitch,"angry, insult",
youre-despicable_7UReTnU,You're Despicable,"angry, dismissive, insult",
Call me maybe,Call me maybe,song,
alex-jones,Alex Jones Swearing,insult,
are-you-crazy-out-of-your-mind,Are You Crazy Out of Your Mind,"insult, dismissive",
boring-1,Boring,dismissive,
maybe,Maybe,"yes, no",
perhaps,Perhaps,"yes, no",
